[🔶debug] [2024-10-05 06:26:27]: 	✌️ 定时服务启动成功！
[🔵info] [2024-10-05 06:26:27]: 	✌️ Sentry loaded
[🔵info] [2024-10-05 06:26:36]: 	✌️ DB loaded
[🔶debug] [2024-10-05 06:26:36]: 	✌️ 公共服务启动成功！
[🔵info] [2024-10-05 06:26:37]: 	✌️ DB loaded
[🔵info] [2024-10-05 06:26:37]: 	✌️ Init file down
[🔵info] [2024-10-05 06:26:38]: 	✌️ Sentry loaded
[🔵info] [2024-10-05 06:26:43]: 	✌️ Dependency Injector loaded
[🔵info] [2024-10-05 06:26:43]: 	[HPM] Proxy created: /  -> http://0.0.0.0:5400/api
[🔵info] [2024-10-05 06:26:43]: 	[HPM] Proxy rewrite rule created: "/api/public" ~> ""
[🔵info] [2024-10-05 06:26:44]: 	✌️ Express loaded
[🔵info] [2024-10-05 06:26:45]: 	✌️ init data loaded
[🔵info] [2024-10-05 06:26:45]: 	✌️ link deps loaded
[🔵info] [2024-10-05 06:26:45]: 	✌️ init task loaded
[🔵info] [2024-10-05 06:26:45]: 	✌️ Sock loaded
[🔶debug] [2024-10-05 06:26:45]: 	✌️ 后端服务启动成功！
[🔵info] [2024-10-05 06:26:45]: 	[取消interval任务], 任务ID: NaN, 任务名: 生成token
[🔵info] [2024-10-05 06:26:45]: 	[panel][创建interval任务], 任务ID: NaN, 任务名: 生成token, 执行命令: node /ql/static/build/token.js
[🔵info] [2024-10-05 06:26:45]: 	[schedule][任务加入队列] 运行中任务数: 0, 等待中任务数: 1
[🔵info] [2024-10-05 06:26:45]: 	[schedule][开始处理任务] 运行中任务数: 1, 等待中任务数: 0
[🔵info] [2024-10-05 06:26:45]: 	[panel][开始执行任务] 参数 {"name":"生成token","command":"node /ql/static/build/token.js"}
[🔵info] [2024-10-05 06:26:50]: 	[schedule][任务处理成功] 参数 {"name":"生成token","command":"node /ql/static/build/token.js","pid":148,"code":0}
[🔵info] [2024-10-05 06:26:50]: 	[schedule][任务队列] 空闲中...
[🔵info] [2024-10-05 06:26:50]: 	[schedule][任务处理结束] 运行中任务数: 0, 等待中任务数: 0
